tournament_id,match_id,match_date,stage_name,match_period,team_id,team_name,home_team,away_team,card_minute,is_yellow,is_red
WC-2018,M-2018-36,2018-06-25,group stage,second half,T-58,Portugal,0,1,64,True,False
WC-2018,M-2018-36,2018-06-25,group stage,second half,T-58,Portugal,0,1,83,True,False
WC-2018,M-2018-36,2018-06-25,group stage,"second half, stoppage time",T-58,Portugal,0,1,98,True,False
WC-2018,M-2018-37,2018-06-26,group stage,first half,T-04,Australia,1,0,10,True,False
WC-2018,M-2018-37,2018-06-26,group stage,first half,T-56,Peru,0,1,45,True,False
WC-2018,M-2018-37,2018-06-26,group stage,second half,T-04,Australia,1,0,60,True,False
WC-2018,M-2018-37,2018-06-26,group stage,second half,T-04,Australia,1,0,66,True,False
WC-2018,M-2018-37,2018-06-26,group stage,second half,T-56,Peru,0,1,79,True,False
WC-2018,M-2018-37,2018-06-26,group stage,second half,T-04,Australia,1,0,88,True,False
WC-2018,M-2018-38,2018-06-26,group stage,"first half, stoppage time",T-22,Denmark,1,0,48,True,False
WC-2018,M-2018-39,2018-06-26,group stage,first half,T-18,Croatia,0,1,14,True,False
WC-2018,M-2018-39,2018-06-26,group stage,second half,T-37,Iceland,1,0,59,True,False
WC-2018,M-2018-39,2018-06-26,group stage,second half,T-37,Iceland,1,0,64,True,False
WC-2018,M-2018-39,2018-06-26,group stage,second half,T-18,Croatia,0,1,83,True,False
WC-2018,M-2018-39,2018-06-26,group stage,second half,T-37,Iceland,1,0,84,True,False
WC-2018,M-2018-40,2018-06-26,group stage,first half,T-50,Nigeria,1,0,32,True,False
WC-2018,M-2018-40,2018-06-26,group stage,second half,T-03,Argentina,0,1,49,True,False
WC-2018,M-2018-40,2018-06-26,group stage,second half,T-03,Argentina,0,1,64,True,False
WC-2018,M-2018-40,2018-06-26,group stage,"second half, stoppage time",T-50,Nigeria,1,0,91,True,False
WC-2018,M-2018-40,2018-06-26,group stage,"second half, stoppage time",T-03,Argentina,0,1,94,True,False
WC-2018,M-2018-41,2018-06-27,group stage,first half,T-71,Korea Republic,1,0,9,True,False
