key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2182,G-2182,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-09,Brazil,BRA,0,1,P-62722,Ronaldo,not applicable,9,T-09,Brazil,BRA,10',10,0,first half,False,False,10
2183,G-2183,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-09,Brazil,BRA,0,1,P-62722,Ronaldo,not applicable,9,T-09,Brazil,BRA,13',13,0,first half,False,False,13
2184,G-2184,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-09,Brazil,BRA,0,1,P-09270,Edmílson,not applicable,5,T-09,Brazil,BRA,38',38,0,first half,False,False,38
2185,G-2185,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-17,Costa Rica,CRI,1,0,P-22046,Wanchope,Paulo,9,T-17,Costa Rica,CRI,39',39,0,first half,False,False,39
2186,G-2186,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-17,Costa Rica,CRI,1,0,P-55170,Gómez,Rónald,11,T-17,Costa Rica,CRI,56',56,0,second half,False,False,56
2187,G-2187,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-09,Brazil,BRA,0,1,P-74261,Rivaldo,not applicable,10,T-09,Brazil,BRA,62',62,0,second half,False,False,62
2188,G-2188,WC-2002,M-2002-41,Costa Rica vs Brazil,2002-06-13,group stage,T-09,Brazil,BRA,0,1,P-29601,Júnior,not applicable,16,T-09,Brazil,BRA,64',64,0,second half,False,False,64
2189,G-2189,WC-2002,M-2002-42,Turkey vs China,2002-06-13,group stage,T-80,Turkey,TUR,1,0,P-23883,Şaş,Hasan,11,T-80,Turkey,TUR,6',6,0,first half,False,False,6
2190,G-2190,WC-2002,M-2002-42,Turkey vs China,2002-06-13,group stage,T-80,Turkey,TUR,1,0,P-94559,Korkmaz,Bülent,3,T-80,Turkey,TUR,9',9,0,first half,False,False,9
2191,G-2191,WC-2002,M-2002-42,Turkey vs China,2002-06-13,group stage,T-80,Turkey,TUR,1,0,P-31566,Davala,Ümit,22,T-80,Turkey,TUR,85',85,0,second half,False,False,85
2192,G-2192,WC-2002,M-2002-43,Ecuador vs Croatia,2002-06-13,group stage,T-25,Ecuador,ECU,1,0,P-42534,Méndez,Édison,19,T-25,Ecuador,ECU,48',48,0,second half,False,False,48
